argument,concern
There's an alarming amount of footage of people suffering from severe side-effects.,side_effects
Unsure of the side effects,side_effects
The side effects of COVID-19 vaccination are unknown.,side_effects
I am afraid of possible side effects in the coming years,side_effects
Side effects from the vaccine Possible death ,side_effects
possible side-effects (e.g. not know input on future pregnancy ),side_effects
"
It is not 100% safe, there are already cases of people with secondary problems or death.",side_effects
Im afraid of side  effects,side_effects
Would like the side effects to be more clear.,side_effects
I am worried about negative reaction.,side_effects
i feel that it might have side effects,side_effects
I am afraid of side effects,side_effects
"Too new, we don't know if there are side effects",side_effects
"Vaccine trials and production were rushed very quickly, and possible side effects may not be seen in the short term.",side_effects
Do not believe that the vaccine has been fully tested on human and all the side effects isn't known.,side_effects
Drugs have nasty side effects,side_effects
risk of adverse effects,side_effects
"My primary reason for not getting a vaccine, this type of vaccine was not thoroughly tested for a prolonged time.  Tests were hastily done to put out a vaccine and these companies did not think of the side effects that can occur in days to come.",side_effects
Worried about short term Side effects ,side_effects
Iâm not sure about side effects,side_effects
I don't know the side effects yet.,side_effects
Don't want to suffer from secondary effects.,side_effects
I want to wait to see what effect it has on others before I put it on.,side_effects
Afraid of undiscovered side effects,side_effects
People already have got side effects.,side_effects
I have some concerns about possible side effects too with such a new vaccine that has been rushed through. Therefore in some respects I would sooner not get it too quickly as you have longer to evaluate impact of the vaccine if any in a negative way.,side_effects
I understand there may be side effects from the vaccine.,side_effects
possible side effects in the future that we dont know about yet,side_effects
I am not sure about the possible side effects,side_effects
Very uncomfortable with the use of mRNA in vaccines and its side effect,side_effects
Not sure about the lasting side effects.,side_effects
There isn't enough data about the effect on baby,side_effects
"Vaccines have side effects, i want to protect my body.",side_effects
"once the vaccine has proven to be harmless in terms of side effects, i'm fine with i.t",side_effects
"Itâs too new, lots of people reporting side effects but it doesnât reach the media - check the adverse reactions logs ",side_effects
some people have severe side effects after vaccination which is worrying ,side_effects
It is new so long term side effects are unavailable.,long_term_effects
"As it's a new vaccine, the potential long-term side effects are not known.",long_term_effects
I don't know exactly the long term effect on the people body's,long_term_effects
Not sure of the long term risks,long_term_effects
Not enough research for the long term side effects,long_term_effects
im 28 years old it will take long time i dont know what they do ,long_term_effects
